ISO,Year,Month,Zone,Zone_Name,Avg_DA_LMP
ISONE,2016,1,4000_ISONE,ISO NE CA,38.6
ISONE,2016,1,4001_Maine,ME,37.21
ISONE,2016,1,4002_NH,NH,38.36
ISONE,2016,1,4003_Vermont,VT,38.4
ISONE,2016,1,4004_Connecticut,CT,38.35
ISONE,2016,1,4005_Rhode_Island,RI,38.54
ISONE,2016,1,4006_SEMA,SEMA,38.73
ISONE,2016,1,4007_WCMA,WCMA,38.68
ISONE,2016,1,4008_NEMA,NEMA,38.63
ISONE,2016,2,4000_ISONE,ISO NE CA,29.9
ISONE,2016,2,4001_Maine,ME,28.62
ISONE,2016,2,4002_NH,NH,29.57
ISONE,2016,2,4003_Vermont,VT,29.79
ISONE,2016,2,4004_Connecticut,CT,29.89
ISONE,2016,2,4005_Rhode_Island,RI,29.93
ISONE,2016,2,4006_SEMA,SEMA,30.12
ISONE,2016,2,4007_WCMA,WCMA,29.97
ISONE,2016,2,4008_NEMA,NEMA,29.83
ISONE,2016,3,4000_ISONE,ISO NE CA,20.62
ISONE,2016,3,4001_Maine,ME,19.97
ISONE,2016,3,4002_NH,NH,20.52
ISONE,2016,3,4003_Vermont,VT,20.53
ISONE,2016,3,4004_Connecticut,CT,20.57
ISONE,2016,3,4005_Rhode_Island,RI,20.52
ISONE,2016,3,4006_SEMA,SEMA,20.73
ISONE,2016,3,4007_WCMA,WCMA,20.66
ISONE,2016,3,4008_NEMA,NEMA,20.69
ISONE,2016,4,4000_ISONE,ISO NE CA,28.36
ISONE,2016,4,4001_Maine,ME,27.72
ISONE,2016,4,4002_NH,NH,28.18
ISONE,2016,4,4003_Vermont,VT,27.91
ISONE,2016,4,4004_Connecticut,CT,28.11
ISONE,2016,4,4005_Rhode_Island,RI,28.3
ISONE,2016,4,4006_SEMA,SEMA,28.43
ISONE,2016,4,4007_WCMA,WCMA,28.33
ISONE,2016,4,4008_NEMA,NEMA,28.43
ISONE,2016,5,4000_ISONE,ISO NE CA,21.24
ISONE,2016,5,4001_Maine,ME,20.82
ISONE,2016,5,4002_NH,NH,21.12
ISONE,2016,5,4003_Vermont,VT,21.06
ISONE,2016,5,4004_Connecticut,CT,21.24
ISONE,2016,5,4005_Rhode_Island,RI,20.99
ISONE,2016,5,4006_SEMA,SEMA,21.02
ISONE,2016,5,4007_WCMA,WCMA,21.26
ISONE,2016,5,4008_NEMA,NEMA,21.18
ISONE,2016,6,4000_ISONE,ISO NE CA,22.61
ISONE,2016,6,4001_Maine,ME,22.28
ISONE,2016,6,4002_NH,NH,22.63
ISONE,2016,6,4003_Vermont,VT,22.83
ISONE,2016,6,4004_Connecticut,CT,22.94
ISONE,2016,6,4005_Rhode_Island,RI,22.43
ISONE,2016,6,4006_SEMA,SEMA,22.45
ISONE,2016,6,4007_WCMA,WCMA,22.75
ISONE,2016,6,4008_NEMA,NEMA,23.04
ISONE,2016,7,4000_ISONE,ISO NE CA,31.12
ISONE,2016,7,4001_Maine,ME,30.09
ISONE,2016,7,4002_NH,NH,30.98
ISONE,2016,7,4003_Vermont,VT,31.34
ISONE,2016,7,4004_Connecticut,CT,31.5
ISONE,2016,7,4005_Rhode_Island,RI,30.87
ISONE,2016,7,4006_SEMA,SEMA,30.96
ISONE,2016,7,4007_WCMA,WCMA,31.28
ISONE,2016,7,4008_NEMA,NEMA,31.63
ISONE,2016,8,4000_ISONE,ISO NE CA,35.54
ISONE,2016,8,4001_Maine,ME,34.52
ISONE,2016,8,4002_NH,NH,35.41
ISONE,2016,8,4003_Vermont,VT,35.67
ISONE,2016,8,4004_Connecticut,CT,35.62
ISONE,2016,8,4005_Rhode_Island,RI,35.38
ISONE,2016,8,4006_SEMA,SEMA,35.76
ISONE,2016,8,4007_WCMA,WCMA,35.63
ISONE,2016,8,4008_NEMA,NEMA,35.55
ISONE,2016,9,4000_ISONE,ISO NE CA,28.62
ISONE,2016,9,4001_Maine,ME,28.14
ISONE,2016,9,4002_NH,NH,28.54
ISONE,2016,9,4003_Vermont,VT,28.7
ISONE,2016,9,4004_Connecticut,CT,29.07
ISONE,2016,9,4005_Rhode_Island,RI,28.4
ISONE,2016,9,4006_SEMA,SEMA,28.59
ISONE,2016,9,4007_WCMA,WCMA,28.7
ISONE,2016,9,4008_NEMA,NEMA,34.61
ISONE,2016,10,4000_ISONE,ISO NE CA,21.98
ISONE,2016,10,4001_Maine,ME,21.98
ISONE,2016,10,4002_NH,NH,22.07
ISONE,2016,10,4003_Vermont,VT,21.89
ISONE,2016,10,4004_Connecticut,CT,21.86
ISONE,2016,10,4005_Rhode_Island,RI,22.09
ISONE,2016,10,4006_SEMA,SEMA,22.79
ISONE,2016,10,4007_WCMA,WCMA,22.12
ISONE,2016,10,4008_NEMA,NEMA,24.68
ISONE,2016,11,4000_ISONE,ISO NE CA,25.0
ISONE,2016,11,4001_Maine,ME,24.64
ISONE,2016,11,4002_NH,NH,24.9
ISONE,2016,11,4003_Vermont,VT,24.52
ISONE,2016,11,4004_Connecticut,CT,24.83
ISONE,2016,11,4005_Rhode_Island,RI,24.87
ISONE,2016,11,4006_SEMA,SEMA,24.96
ISONE,2016,11,4007_WCMA,WCMA,25.04
ISONE,2016,11,4008_NEMA,NEMA,25.99
ISONE,2016,12,4000_ISONE,ISO NE CA,53.28
ISONE,2016,12,4001_Maine,ME,52.42
ISONE,2016,12,4002_NH,NH,52.96
ISONE,2016,12,4003_Vermont,VT,52.81
ISONE,2016,12,4004_Connecticut,CT,52.78
ISONE,2016,12,4005_Rhode_Island,RI,53.12
ISONE,2016,12,4006_SEMA,SEMA,53.53
ISONE,2016,12,4007_WCMA,WCMA,53.29
ISONE,2016,12,4008_NEMA,NEMA,53.23
ISONE,2017,1,4000_ISONE,ISO NE CA,40.3
ISONE,2017,1,4001_Maine,ME,39.49
ISONE,2017,1,4002_NH,NH,40.09
ISONE,2017,1,4003_Vermont,VT,39.72
ISONE,2017,1,4004_Connecticut,CT,40.04
ISONE,2017,1,4005_Rhode_Island,RI,40.14
ISONE,2017,1,4006_SEMA,SEMA,40.17
ISONE,2017,1,4007_WCMA,WCMA,40.35
ISONE,2017,1,4008_NEMA,NEMA,40.22
ISONE,2017,2,4000_ISONE,ISO NE CA,30.02
ISONE,2017,2,4001_Maine,ME,29.46
ISONE,2017,2,4002_NH,NH,30.04
ISONE,2017,2,4003_Vermont,VT,29.83
ISONE,2017,2,4004_Connecticut,CT,30.24
ISONE,2017,2,4005_Rhode_Island,RI,29.94
ISONE,2017,2,4006_SEMA,SEMA,29.97
ISONE,2017,2,4007_WCMA,WCMA,30.12
ISONE,2017,2,4008_NEMA,NEMA,30.33
ISONE,2017,3,4000_ISONE,ISO NE CA,35.78
ISONE,2017,3,4001_Maine,ME,34.54
ISONE,2017,3,4002_NH,NH,35.32
ISONE,2017,3,4003_Vermont,VT,35.27
ISONE,2017,3,4004_Connecticut,CT,36.07
ISONE,2017,3,4005_Rhode_Island,RI,35.53
ISONE,2017,3,4006_SEMA,SEMA,35.58
ISONE,2017,3,4007_WCMA,WCMA,35.9
ISONE,2017,3,4008_NEMA,NEMA,35.57
ISONE,2017,4,4000_ISONE,ISO NE CA,29.23
ISONE,2017,4,4001_Maine,ME,28.65
ISONE,2017,4,4002_NH,NH,29.23
ISONE,2017,4,4003_Vermont,VT,28.57
ISONE,2017,4,4004_Connecticut,CT,29.71
ISONE,2017,4,4005_Rhode_Island,RI,28.9
ISONE,2017,4,4006_SEMA,SEMA,29.1
ISONE,2017,4,4007_WCMA,WCMA,29.33
ISONE,2017,4,4008_NEMA,NEMA,29.24
ISONE,2017,5,4000_ISONE,ISO NE CA,27.31
ISONE,2017,5,4001_Maine,ME,25.15
ISONE,2017,5,4002_NH,NH,26.26
ISONE,2017,5,4003_Vermont,VT,26.51
ISONE,2017,5,4004_Connecticut,CT,27.56
ISONE,2017,5,4005_Rhode_Island,RI,27.15
ISONE,2017,5,4006_SEMA,SEMA,27.34
ISONE,2017,5,4007_WCMA,WCMA,27.34
ISONE,2017,5,4008_NEMA,NEMA,27.76
ISONE,2017,6,4000_ISONE,ISO NE CA,25.48
ISONE,2017,6,4001_Maine,ME,24.79
ISONE,2017,6,4002_NH,NH,25.08
ISONE,2017,6,4003_Vermont,VT,25.39
ISONE,2017,6,4004_Connecticut,CT,26.02
ISONE,2017,6,4005_Rhode_Island,RI,25.32
ISONE,2017,6,4006_SEMA,SEMA,25.34
ISONE,2017,6,4007_WCMA,WCMA,25.59
ISONE,2017,6,4008_NEMA,NEMA,25.47
ISONE,2017,7,4000_ISONE,ISO NE CA,27.6
ISONE,2017,7,4001_Maine,ME,27.0
ISONE,2017,7,4002_NH,NH,27.66
ISONE,2017,7,4003_Vermont,VT,27.67
ISONE,2017,7,4004_Connecticut,CT,27.92
ISONE,2017,7,4005_Rhode_Island,RI,27.46
ISONE,2017,7,4006_SEMA,SEMA,27.56
ISONE,2017,7,4007_WCMA,WCMA,27.74
ISONE,2017,7,4008_NEMA,NEMA,27.59
ISONE,2017,8,4000_ISONE,ISO NE CA,24.9
ISONE,2017,8,4001_Maine,ME,24.56
ISONE,2017,8,4002_NH,NH,24.98
ISONE,2017,8,4003_Vermont,VT,25.06
ISONE,2017,8,4004_Connecticut,CT,25.14
ISONE,2017,8,4005_Rhode_Island,RI,24.75
ISONE,2017,8,4006_SEMA,SEMA,24.79
